# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.398500	12.570968	21.936416	-0.039804	0.021254	2.370525	0.000000	-0.000513	0.000000	-0.000207	-0.000002	0.000000	0.000000
0.797000	12.615344	21.926720	-0.071505	0.002994	2.370322	0.000000	-0.000522	0.000000	-0.000208	-0.000002	0.000000	0.000000
1.238119	12.834890	21.689786	-0.428040	0.532136	2.384639	0.000000	0.065489	0.000000	-0.000210	-0.000007	0.000000	0.000000
1.679237	13.376200	20.994737	-0.803635	1.037673	2.428211	0.000000	0.132226	0.000000	-0.000214	-0.000012	0.000000	0.000000
2.120356	14.263377	19.872406	-1.215014	1.497181	2.501520	0.000000	0.200432	0.000000	-0.000221	-0.000018	0.000000	0.000000
2.561474	15.535925	18.372577	-1.680493	1.890277	2.605380	0.000000	0.270862	0.000000	-0.000230	-0.000024	0.000000	0.000000
3.002593	17.250506	16.561779	-2.220963	2.199681	2.740945	0.000000	0.344326	0.000000	-0.000242	-0.000030	0.000000	0.000000
3.551991	19.469866	14.510638	-1.795437	1.555188	2.908101	0.000000	0.263262	0.000000	-0.000256	-0.000022	0.000000	0.000000
4.101389	21.150817	13.104809	-1.246600	1.018359	3.029404	0.000000	0.177659	0.000000	-0.000266	-0.000013	0.000000	0.000000
4.650787	22.177913	12.246965	-0.612146	0.552031	3.102763	0.000000	0.088993	0.000000	-0.000271	-0.000005	0.000000	0.000000
5.200185	22.480612	11.877720	0.064350	0.123919	3.126912	0.000000	-0.001209	0.000000	-0.000271	0.000004	0.000000	0.000000
5.601685	22.436049	11.792042	0.046529	0.089537	3.126419	0.000000	-0.001225	0.000000	-0.000270	0.000004	0.000000	0.000000
6.003185	22.405887	11.733924	0.028595	0.055215	3.125926	0.000000	-0.001225	0.000000	-0.000268	0.000004	0.000000	0.000000
6.401685	22.390190	11.703492	0.010795	0.021151	3.125436	0.000000	-0.001225	0.000000	-0.000267	0.000004	0.000000	0.000000
6.800185	22.388680	11.700210	-0.006895	-0.012972	3.124947	0.000000	-0.001240	0.000000	-0.000265	0.000004	0.000000	0.000000
7.349583	22.025155	11.943073	0.664773	-0.431619	3.099469	0.000000	-0.091359	0.000000	-0.000261	0.000012	0.000000	0.000000
7.898981	20.944566	12.659641	1.290784	-0.880148	3.024839	0.000000	-0.179902	0.000000	-0.000253	0.000020	0.000000	0.000000
8.448379	19.221128	13.899523	1.828145	-1.389610	2.902343	0.000000	-0.265343	0.000000	-0.000239	0.000028	0.000000	0.000000
8.997778	16.973204	15.748557	2.239948	-1.995275	2.734094	0.000000	-0.346209	0.000000	-0.000222	0.000035	0.000000	0.000000
9.438896	15.240724	17.382366	1.702222	-1.694922	2.597656	0.000000	-0.272930	0.000000	-0.000208	0.000029	0.000000	0.000000
9.880015	13.947452	18.717040	1.240439	-1.319522	2.492836	0.000000	-0.202705	0.000000	-0.000196	0.000024	0.000000	0.000000
10.321133	13.035805	19.693375	0.833889	-0.885590	2.418471	0.000000	-0.134730	0.000000	-0.000187	0.000020	0.000000	0.000000
10.762252	12.465188	20.268062	0.464470	-0.412374	2.373736	0.000000	-0.068252	0.000000	-0.000179	0.000015	0.000000	0.000000
11.203370	12.210196	20.415607	0.115772	0.079067	2.358133	0.000000	-0.002538	0.000000	-0.000173	0.000011	0.000000	0.000000
