# Turn	Orbit_Min_x	Orbit_Max_x	Orbit_Min_y	Orbit_Max_y
-1	-0.000000	0.000000	0.000000	0.000000
0	-0.000000	0.000000	0.000000	0.000000
1	-0.007396	0.005899	0.000000	0.000000
2	-0.007396	0.005899	0.000000	0.000000
3	-0.007395	0.005898	0.000000	0.000000
4	-0.007395	0.005898	0.000000	0.000000
5	-0.007395	0.005897	0.000000	0.000000
6	-0.007395	0.005897	0.000000	0.000000
7	-0.007395	0.005896	0.000000	0.000000
8	-0.007395	0.005896	0.000000	0.000000
9	-0.007395	0.005896	0.000000	0.000000
10	-0.007394	0.005895	0.000000	0.000000
11	-0.007393	0.005894	0.000000	0.000000
12	-0.007392	0.005894	0.000000	0.000000
13	-0.007391	0.005893	0.000000	0.000000
14	-0.007390	0.005892	0.000000	0.000000
15	-0.007389	0.005891	0.000000	0.000000
16	-0.007388	0.005890	0.000000	0.000000
17	-0.007386	0.005890	0.000000	0.000000
18	-0.007385	0.005889	0.000000	0.000000
19	-0.007384	0.005888	0.000000	0.000000
20	-0.007383	0.005887	0.000000	0.000000
21	-0.007381	0.005886	0.000000	0.000000
22	-0.007380	0.005884	0.000000	0.000000
23	-0.007378	0.005883	0.000000	0.000000
24	-0.007376	0.005881	0.000000	0.000000
25	-0.007374	0.005880	0.000000	0.000000
26	-0.007373	0.005878	0.000000	0.000000
27	-0.007371	0.005877	0.000000	0.000000
28	-0.007369	0.005875	0.000000	0.000000
29	-0.007367	0.005873	0.000000	0.000000
30	-0.007366	0.005872	0.000000	0.000000
31	-0.007363	0.005870	0.000000	0.000000
32	-0.007360	0.005868	0.000000	0.000000
33	-0.007358	0.005866	0.000000	0.000000
34	-0.007355	0.005864	0.000000	0.000000
35	-0.007352	0.005862	0.000000	0.000000
36	-0.007350	0.005860	0.000000	0.000000
37	-0.007347	0.005859	0.000000	0.000000
38	-0.007344	0.005857	0.000000	0.000000
39	-0.007342	0.005855	0.000000	0.000000
40	-0.007339	0.005853	0.000000	0.000000
41	-0.007336	0.005850	0.000000	0.000000
42	-0.007333	0.005847	0.000000	0.000000
43	-0.007330	0.005845	0.000000	0.000000
44	-0.007327	0.005842	0.000000	0.000000
45	-0.007324	0.005839	0.000000	0.000000
46	-0.007321	0.005836	0.000000	0.000000
47	-0.007317	0.005834	0.000000	0.000000
48	-0.007314	0.005831	0.000000	0.000000
49	-0.007311	0.005828	0.000000	0.000000
50	-0.007308	0.005825	0.000000	0.000000
51	-0.007304	0.005822	0.000000	0.000000
52	-0.007300	0.005819	0.000000	0.000000
53	-0.007295	0.005817	0.000000	0.000000
54	-0.007291	0.005814	0.000000	0.000000
55	-0.007287	0.005811	0.000000	0.000000
56	-0.007282	0.005808	0.000000	0.000000
57	-0.007278	0.005805	0.000000	0.000000
58	-0.007273	0.005802	0.000000	0.000000
59	-0.007269	0.005799	0.000000	0.000000
60	-0.007265	0.005796	0.000000	0.000000
61	-0.007260	0.005793	0.000000	0.000000
62	-0.007256	0.005789	0.000000	0.000000
63	-0.007251	0.005785	0.000000	0.000000
64	-0.007246	0.005781	0.000000	0.000000
65	-0.007242	0.005777	0.000000	0.000000
66	-0.007237	0.005773	0.000000	0.000000
67	-0.007233	0.005769	0.000000	0.000000
68	-0.007228	0.005765	0.000000	0.000000
69	-0.007223	0.005762	0.000000	0.000000
70	-0.007219	0.005758	0.000000	0.000000
71	-0.007214	0.005753	0.000000	0.000000
72	-0.007208	0.005749	0.000000	0.000000
73	-0.007203	0.005745	0.000000	0.000000
74	-0.007197	0.005741	0.000000	0.000000
75	-0.007192	0.005736	0.000000	0.000000
76	-0.007186	0.005732	0.000000	0.000000
77	-0.007181	0.005728	0.000000	0.000000
78	-0.007175	0.005724	0.000000	0.000000
79	-0.007170	0.005719	0.000000	0.000000
80	-0.007164	0.005715	0.000000	0.000000
81	-0.007158	0.005710	0.000000	0.000000
82	-0.007152	0.005705	0.000000	0.000000
83	-0.007146	0.005701	0.000000	0.000000
84	-0.007140	0.005696	0.000000	0.000000
85	-0.007133	0.005691	0.000000	0.000000
86	-0.007127	0.005686	0.000000	0.000000
87	-0.007121	0.005681	0.000000	0.000000
88	-0.007115	0.005676	0.000000	0.000000
89	-0.007108	0.005672	0.000000	0.000000
90	-0.007102	0.005667	0.000000	0.000000
91	-0.007096	0.005661	0.000000	0.000000
92	-0.007089	0.005656	0.000000	0.000000
93	-0.007082	0.005650	0.000000	0.000000
94	-0.007075	0.005645	0.000000	0.000000
95	-0.007069	0.005639	0.000000	0.000000
96	-0.007062	0.005634	0.000000	0.000000
97	-0.007055	0.005628	0.000000	0.000000
98	-0.007048	0.005623	0.000000	0.000000
99	-0.007042	0.005618	0.000000	0.000000
100	-0.007035	0.005612	0.000000	0.000000
101	-0.007028	0.005606	0.000000	0.000000
102	-0.007020	0.005600	0.000000	0.000000
103	-0.007013	0.005594	0.000000	0.000000
104	-0.007006	0.005587	0.000000	0.000000
105	-0.006998	0.005581	0.000000	0.000000
106	-0.006991	0.005575	0.000000	0.000000
107	-0.006984	0.005569	0.000000	0.000000
108	-0.006976	0.005562	0.000000	0.000000
109	-0.006969	0.005556	0.000000	0.000000
110	-0.006962	0.005550	0.000000	0.000000
111	-0.006954	0.005544	0.000000	0.000000
112	-0.006945	0.005537	0.000000	0.000000
113	-0.006937	0.005531	0.000000	0.000000
114	-0.006928	0.005524	0.000000	0.000000
115	-0.006920	0.005518	0.000000	0.000000
116	-0.006912	0.005511	0.000000	0.000000
117	-0.006903	0.005505	0.000000	0.000000
118	-0.006895	0.005499	0.000000	0.000000
119	-0.006886	0.005492	0.000000	0.000000
120	-0.006878	0.005486	0.000000	0.000000
121	-0.006869	0.005479	0.000000	0.000000
122	-0.006860	0.005472	0.000000	0.000000
123	-0.006851	0.005465	0.000000	0.000000
124	-0.006842	0.005458	0.000000	0.000000
125	-0.006834	0.005451	0.000000	0.000000
126	-0.006825	0.005443	0.000000	0.000000
127	-0.006816	0.005436	0.000000	0.000000
128	-0.006807	0.005429	0.000000	0.000000
129	-0.006798	0.005422	0.000000	0.000000
130	-0.006789	0.005415	0.000000	0.000000
131	-0.006779	0.005408	0.000000	0.000000
132	-0.006770	0.005400	0.000000	0.000000
133	-0.006760	0.005393	0.000000	0.000000
134	-0.006750	0.005385	0.000000	0.000000
135	-0.006740	0.005378	0.000000	0.000000
136	-0.006731	0.005370	0.000000	0.000000
137	-0.006721	0.005363	0.000000	0.000000
138	-0.006711	0.005355	0.000000	0.000000
139	-0.006702	0.005348	0.000000	0.000000
140	-0.006692	0.005340	0.000000	0.000000
141	-0.006682	0.005332	0.000000	0.000000
142	-0.006671	0.005324	0.000000	0.000000
143	-0.006661	0.005316	0.000000	0.000000
144	-0.006651	0.005308	0.000000	0.000000
145	-0.006640	0.005300	0.000000	0.000000
146	-0.006630	0.005292	0.000000	0.000000
147	-0.006620	0.005284	0.000000	0.000000
148	-0.006610	0.005276	0.000000	0.000000
149	-0.006599	0.005268	0.000000	0.000000
150	-0.006589	0.005259	0.000000	0.000000
151	-0.006578	0.005251	0.000000	0.000000
152	-0.006568	0.005242	0.000000	0.000000
153	-0.006557	0.005233	0.000000	0.000000
154	-0.006547	0.005224	0.000000	0.000000
155	-0.006536	0.005215	0.000000	0.000000
156	-0.006525	0.005206	0.000000	0.000000
157	-0.006515	0.005197	0.000000	0.000000
158	-0.006504	0.005188	0.000000	0.000000
159	-0.006494	0.005179	0.000000	0.000000
160	-0.006483	0.005171	0.000000	0.000000
161	-0.006472	0.005161	0.000000	0.000000
162	-0.006460	0.005152	0.000000	0.000000
163	-0.006448	0.005143	0.000000	0.000000
164	-0.006437	0.005134	0.000000	0.000000
165	-0.006425	0.005125	0.000000	0.000000
166	-0.006413	0.005116	0.000000	0.000000
167	-0.006402	0.005107	0.000000	0.000000
168	-0.006390	0.005098	0.000000	0.000000
169	-0.006378	0.005089	0.000000	0.000000
170	-0.006367	0.005079	0.000000	0.000000
171	-0.006355	0.005070	0.000000	0.000000
172	-0.006343	0.005060	0.000000	0.000000
173	-0.006331	0.005050	0.000000	0.000000
174	-0.006319	0.005040	0.000000	0.000000
175	-0.006307	0.005030	0.000000	0.000000
176	-0.006295	0.005021	0.000000	0.000000
177	-0.006283	0.005011	0.000000	0.000000
178	-0.006271	0.005001	0.000000	0.000000
179	-0.006259	0.004991	0.000000	0.000000
180	-0.006247	0.004981	0.000000	0.000000
181	-0.006234	0.004972	0.000000	0.000000
182	-0.006221	0.004962	0.000000	0.000000
183	-0.006208	0.004952	0.000000	0.000000
184	-0.006195	0.004942	0.000000	0.000000
185	-0.006182	0.004932	0.000000	0.000000
186	-0.006169	0.004922	0.000000	0.000000
