# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.300000	11.456054	26.055494	0.005318	-0.007716	2.643307	0.000000	-0.009491	0.000000	-0.000047	0.000008	0.000000	0.000000
0.601250	11.460772	26.063627	-0.020979	-0.019279	2.640446	0.000000	-0.009491	0.000000	-0.000045	0.000008	0.000000	0.000000
0.898573	11.480964	26.078484	-0.018767	-0.094666	2.637621	0.000000	-0.015962	0.000000	-0.000043	0.000008	0.000000	0.000000
1.339533	11.645781	25.872194	-0.356418	0.560705	2.646976	0.000000	0.058445	0.000000	-0.000040	0.000007	0.000000	0.000000
1.780493	12.114408	25.097004	-0.710353	1.190565	2.689257	0.000000	0.133518	0.000000	-0.000037	0.000006	0.000000	0.000000
2.221453	12.908253	23.788185	-1.096742	1.766255	2.764946	0.000000	0.210111	0.000000	-0.000035	0.000005	0.000000	0.000000
2.662413	14.063585	22.005287	-1.533237	2.261582	2.874905	0.000000	0.289097	0.000000	-0.000033	0.000004	0.000000	0.000000
3.108373	15.653212	19.803385	-2.043944	2.655159	3.022206	0.000000	0.371866	0.000000	-0.000031	0.000003	0.000000	0.000000
3.657433	17.693914	17.329102	-1.650774	1.877843	3.201121	0.000000	0.278895	0.000000	-0.000029	0.000004	0.000000	0.000000
4.206493	19.235894	15.630387	-1.141001	1.234281	3.327553	0.000000	0.180977	0.000000	-0.000027	0.000005	0.000000	0.000000
4.755553	20.170235	14.586244	-0.550634	0.678635	3.399260	0.000000	0.079849	0.000000	-0.000024	0.000006	0.000000	0.000000
5.304613	20.430940	14.122304	0.078628	0.171326	3.414970	0.000000	-0.022695	0.000000	-0.000020	0.000007	0.000000	0.000000
5.603185	20.420236	14.004546	0.010613	0.186171	3.410856	0.000000	-0.013771	0.000000	-0.000018	0.000006	0.000000	0.000000
5.936519	20.418602	13.888641	-0.005712	0.161544	3.406264	0.000000	-0.013771	0.000000	-0.000016	0.000006	0.000000	0.000000
6.269852	20.427852	13.789153	-0.022038	0.136918	3.401671	0.000000	-0.013771	0.000000	-0.000014	0.000006	0.000000	0.000000
6.604435	20.448082	13.705803	-0.038424	0.112199	3.397062	0.000000	-0.013771	0.000000	-0.000012	0.000006	0.000000	0.000000
6.901758	20.475260	13.645616	-0.106489	0.125890	3.392965	0.000000	-0.004905	0.000000	-0.000010	0.000006	0.000000	0.000000
7.450818	20.244054	13.771299	0.525095	-0.356148	3.362334	0.000000	-0.106495	0.000000	-0.000006	0.000007	0.000000	0.000000
7.999878	19.335648	14.437058	1.119589	-0.863553	3.276361	0.000000	-0.206195	0.000000	-0.000003	0.000007	0.000000	0.000000
8.548938	17.814209	15.690314	1.635001	-1.432467	3.136572	0.000000	-0.302238	0.000000	0.000001	0.000007	0.000000	0.000000
9.097998	15.787202	17.620332	2.034925	-2.103413	2.945445	0.000000	-0.392920	0.000000	0.000005	0.000007	0.000000	0.000000
9.543958	14.206212	19.339569	1.522810	-1.735396	2.788289	0.000000	-0.312271	0.000000	0.000008	0.000007	0.000000	0.000000
9.984918	13.060871	20.678617	1.084427	-1.289714	2.667594	0.000000	-0.235656	0.000000	0.000011	0.000007	0.000000	0.000000
