# Turn	Orbit_Min_x	Orbit_Max_x	Orbit_Min_y	Orbit_Max_y
0	-0.000000	0.000000	0.000000	0.000000
1	-0.037777	0.028743	0.000000	0.000000
2	-0.037779	0.028737	0.000000	0.000000
3	-0.037782	0.028731	0.000000	0.000000
4	-0.037784	0.028725	0.000000	0.000000
5	-0.037786	0.028719	0.000000	0.000000
6	-0.037789	0.028713	0.000000	0.000000
7	-0.037791	0.028707	0.000000	0.000000
8	-0.037793	0.028701	0.000000	0.000000
9	-0.037796	0.028695	0.000000	0.000000
10	-0.037798	0.028689	0.000000	0.000000
11	-0.037796	0.028682	0.000000	0.000000
12	-0.037793	0.028674	0.000000	0.000000
13	-0.037790	0.028666	0.000000	0.000000
14	-0.037787	0.028659	0.000000	0.000000
15	-0.037784	0.028651	0.000000	0.000000
16	-0.037781	0.028643	0.000000	0.000000
17	-0.037778	0.028636	0.000000	0.000000
18	-0.037775	0.028628	0.000000	0.000000
19	-0.037772	0.028620	0.000000	0.000000
20	-0.037769	0.028613	0.000000	0.000000
21	-0.037764	0.028602	0.000000	0.000000
22	-0.037758	0.028591	0.000000	0.000000
23	-0.037752	0.028580	0.000000	0.000000
24	-0.037746	0.028568	0.000000	0.000000
25	-0.037740	0.028557	0.000000	0.000000
26	-0.037735	0.028546	0.000000	0.000000
27	-0.037729	0.028535	0.000000	0.000000
28	-0.037723	0.028523	0.000000	0.000000
29	-0.037717	0.028512	0.000000	0.000000
30	-0.037712	0.028501	0.000000	0.000000
31	-0.037702	0.028488	0.000000	0.000000
32	-0.037691	0.028475	0.000000	0.000000
33	-0.037680	0.028462	0.000000	0.000000
34	-0.037669	0.028449	0.000000	0.000000
35	-0.037658	0.028436	0.000000	0.000000
36	-0.037647	0.028423	0.000000	0.000000
37	-0.037636	0.028410	0.000000	0.000000
38	-0.037625	0.028398	0.000000	0.000000
39	-0.037614	0.028385	0.000000	0.000000
40	-0.037603	0.028372	0.000000	0.000000
41	-0.037591	0.028355	0.000000	0.000000
42	-0.037578	0.028338	0.000000	0.000000
43	-0.037565	0.028321	0.000000	0.000000
44	-0.037553	0.028304	0.000000	0.000000
45	-0.037540	0.028287	0.000000	0.000000
46	-0.037527	0.028270	0.000000	0.000000
47	-0.037514	0.028252	0.000000	0.000000
48	-0.037502	0.028235	0.000000	0.000000
49	-0.037489	0.028218	0.000000	0.000000
50	-0.037476	0.028201	0.000000	0.000000
51	-0.037458	0.028184	0.000000	0.000000
52	-0.037438	0.028166	0.000000	0.000000
53	-0.037418	0.028149	0.000000	0.000000
54	-0.037398	0.028132	0.000000	0.000000
55	-0.037378	0.028115	0.000000	0.000000
56	-0.037359	0.028098	0.000000	0.000000
57	-0.037339	0.028080	0.000000	0.000000
58	-0.037319	0.028063	0.000000	0.000000
59	-0.037299	0.028046	0.000000	0.000000
60	-0.037279	0.028029	0.000000	0.000000
