# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.300000	11.951885	24.607799	-0.017384	-0.035172	2.609396	0.000000	0.003335	0.000000	0.000008	0.000000	0.000000	0.000000
0.601250	11.969954	24.632682	-0.042597	-0.047429	2.610401	0.000000	0.003335	0.000000	0.000008	0.000000	0.000000	0.000000
0.898573	12.002683	24.664483	-0.038049	-0.120006	2.611392	0.000000	-0.003069	0.000000	0.000008	0.000000	0.000000	0.000000
1.339533	12.189871	24.496928	-0.388063	0.498539	2.626297	0.000000	0.070734	0.000000	0.000008	0.000000	0.000000	0.000000
1.780493	12.692366	23.791822	-0.755808	1.094400	2.673892	0.000000	0.145342	0.000000	0.000009	0.000000	0.000000	0.000000
2.221453	13.533126	22.581248	-1.158082	1.640468	2.754719	0.000000	0.221606	0.000000	0.000009	0.000001	0.000000	0.000000
2.662413	14.750562	20.920285	-1.613267	2.111895	2.869699	0.000000	0.300393	0.000000	0.000009	0.000001	0.000000	0.000000
3.108373	16.421322	18.860107	-2.146496	2.488358	3.022019	0.000000	0.383091	0.000000	0.000010	0.000001	0.000000	0.000000
3.657433	18.562951	16.546730	-1.730950	1.749852	3.207082	0.000000	0.290027	0.000000	0.000010	0.000001	0.000000	0.000000
4.206493	20.178011	14.971531	-1.193138	1.135983	3.339557	0.000000	0.191818	0.000000	0.000011	0.000001	0.000000	0.000000
4.755553	21.152424	14.022312	-0.571048	0.603028	3.417095	0.000000	0.090206	0.000000	0.000011	0.000000	0.000000	0.000000
5.304613	21.417361	13.631463	0.091377	0.113026	3.438320	0.000000	-0.013005	0.000000	0.000011	-0.000000	0.000000	0.000000
5.603185	21.400376	13.549388	0.021464	0.126252	3.437119	0.000000	-0.004022	0.000000	0.000011	-0.000000	0.000000	0.000000
5.936519	21.391261	13.473551	0.005881	0.101259	3.435779	0.000000	-0.004022	0.000000	0.000011	-0.000000	0.000000	0.000000
6.269852	21.392535	13.414376	-0.009702	0.076265	3.434438	0.000000	-0.004022	0.000000	0.000011	-0.000000	0.000000	0.000000
6.604435	21.404261	13.371736	-0.025344	0.051178	3.433092	0.000000	-0.004022	0.000000	0.000011	-0.000000	0.000000	0.000000
6.901758	21.423464	13.347932	-0.095214	0.063757	3.431896	0.000000	0.004944	0.000000	0.000011	-0.000000	0.000000	0.000000
7.450818	21.162590	13.537587	0.567531	-0.411214	3.406315	0.000000	-0.097989	0.000000	0.000010	-0.000000	0.000000	0.000000
7.999878	20.191749	14.261745	1.190188	-0.915475	3.324612	0.000000	-0.199184	0.000000	0.000010	-0.000001	0.000000	0.000000
8.548938	18.579518	15.571985	1.728777	-1.484944	3.188237	0.000000	-0.296845	0.000000	0.000009	-0.000001	0.000000	0.000000
9.097998	16.439776	17.561633	2.145253	-2.160181	2.999609	0.000000	-0.389242	0.000000	0.000009	-0.000001	0.000000	0.000000
9.543958	14.770204	19.334723	1.611830	-1.798922	2.844412	0.000000	-0.307162	0.000000	0.000008	-0.000001	0.000000	0.000000
9.984918	13.554145	20.731684	1.156386	-1.357023	2.726298	0.000000	-0.229067	0.000000	0.000008	-0.000001	0.000000	0.000000
10.425878	12.715024	21.710107	0.753774	-0.853380	2.642012	0.000000	-0.153580	0.000000	0.000007	-0.000001	0.000000	0.000000
10.866838	12.214504	22.225473	0.385600	-0.310909	2.590596	0.000000	-0.079843	0.000000	0.000007	-0.000001	0.000000	0.000000
11.309048	12.029557	22.253857	0.064436	0.191079	2.571447	0.000000	-0.013321	0.000000	0.000007	-0.000000	0.000000	0.000000
11.606371	11.998620	22.144350	0.039618	0.177230	2.567486	0.000000	-0.013321	0.000000	0.000007	-0.000000	0.000000	0.000000
12.086371	11.979819	21.984940	-0.000450	0.154874	2.561092	0.000000	-0.013321	0.000000	0.000007	-0.000000	0.000000	0.000000
12.566371	11.999483	21.846993	-0.040517	0.132517	2.554698	0.000000	-0.013321	0.000000	0.000006	-0.000000	0.000000	0.000000
13.046371	12.057612	21.730508	-0.080584	0.110160	2.548304	0.000000	-0.013321	0.000000	0.000006	-0.000000	0.000000	0.000000
13.526371	12.154205	21.635486	-0.120652	0.087803	2.541910	0.000000	-0.013321	0.000000	0.000006	-0.000000	0.000000	0.000000
14.007621	12.289665	21.561763	-0.160823	0.065388	2.535500	0.000000	-0.013321	0.000000	0.000006	-0.000000	0.000000	0.000000
14.304943	12.392677	21.526997	-0.155253	-0.001248	2.531539	0.000000	-0.019529	0.000000	0.000006	-0.000000	0.000000	0.000000
14.745903	12.688314	21.292222	-0.517731	0.531639	2.538717	0.000000	0.052115	0.000000	0.000005	-0.000000	0.000000	0.000000
15.186863	13.312811	20.596396	-0.903862	1.040338	2.577588	0.000000	0.124353	0.000000	0.000005	-0.000000	0.000000	0.000000
15.627823	14.294697	19.471176	-1.331288	1.501702	2.648594	0.000000	0.198007	0.000000	0.000005	-0.000000	0.000000	0.000000
16.068783	15.678834	17.967760	-1.819537	1.894739	2.752545	0.000000	0.273917	0.000000	0.000005	0.000000	0.000000	0.000000
16.514743	17.551947	16.132942	-2.395648	2.202348	2.892354	0.000000	0.353415	0.000000	0.000005	0.000000	0.000000	0.000000
17.063803	19.956708	14.083124	-1.958203	1.553012	3.062321	0.000000	0.264796	0.000000	0.000005	0.000000	0.000000	0.000000
17.612863	21.801845	12.681791	-1.382441	1.014293	3.182269	0.000000	0.171480	0.000000	0.000005	-0.000000	0.000000	0.000000
18.161923	22.957026	11.829131	-0.709030	0.547820	3.250068	0.000000	0.075123	0.000000	0.000005	-0.000000	0.000000	0.000000
18.710983	23.340655	11.464409	0.014464	0.120367	3.264518	0.000000	-0.022567	0.000000	0.000005	-0.000000	0.000000	0.000000
19.009556	23.372261	11.382598	-0.059338	0.123688	3.260327	0.000000	-0.014038	0.000000	0.000005	-0.000000	0.000000	0.000000
19.342889	23.416591	11.310051	-0.073650	0.093955	3.255647	0.000000	-0.014038	0.000000	0.000005	-0.000000	0.000000	0.000000
19.676223	23.470462	11.257325	-0.087962	0.064223	3.250968	0.000000	-0.014038	0.000000	0.000005	-0.000000	0.000000	0.000000
20.010806	23.534421	11.224195	-0.218931	0.089990	3.246292	0.000000	0.002046	0.000000	0.000005	-0.000000	0.000000	0.000000
20.308129	23.668544	11.178622	-0.294009	0.092493	3.246900	0.000000	0.010529	0.000000	0.000005	-0.000000	0.000000	0.000000
20.857189	23.583387	11.302268	0.448186	-0.319018	3.226017	0.000000	-0.086485	0.000000	0.000004	-0.000001	0.000000	0.000000
21.406249	22.695844	11.887554	1.158723	-0.753252	3.152211	0.000000	-0.181966	0.000000	0.000004	-0.000001	0.000000	0.000000
21.955309	21.068606	12.976169	1.787413	-1.241138	3.026790	0.000000	-0.274219	0.000000	0.000004	-0.000001	0.000000	0.000000
22.504369	18.816612	14.645651	2.289850	-1.817428	2.851980	0.000000	-0.361608	0.000000	0.000003	-0.000001	0.000000	0.000000
22.950329	17.042838	16.143330	1.701626	-1.526727	2.708277	0.000000	-0.283209	0.000000	0.000003	-0.000001	0.000000	0.000000
23.391289	15.770009	17.335891	1.195820	-1.167447	2.599969	0.000000	-0.208497	0.000000	0.000002	-0.000001	0.000000	0.000000
23.832249	14.917574	18.186873	0.744647	-0.755048	2.524052	0.000000	-0.136159	0.000000	0.000002	-0.000001	0.000000	0.000000
24.273209	14.446588	18.657556	0.327496	-0.308295	2.479661	0.000000	-0.065373	0.000000	0.000002	-0.000001	0.000000	0.000000
24.715418	14.335633	18.726258	-0.039627	0.106495	2.466288	0.000000	-0.001379	0.000000	0.000001	-0.000001	0.000000	0.000000
25.012741	14.365373	18.667706	-0.060399	0.090437	2.465879	0.000000	-0.001379	0.000000	0.000001	-0.000001	0.000000	0.000000
25.346075	14.413402	18.613415	-0.083688	0.072435	2.465419	0.000000	-0.001379	0.000000	0.000001	-0.000001	0.000000	0.000000
25.679408	14.476957	18.571126	-0.106977	0.054433	2.464960	0.000000	-0.001379	0.000000	0.000001	-0.000001	0.000000	0.000000
26.013991	14.556068	18.541123	-0.012264	-0.114051	2.464474	0.000000	-0.021372	0.000000	0.000001	-0.000001	0.000000	0.000000
26.311314	14.569435	18.613773	0.003035	-0.175942	2.458120	0.000000	-0.027400	0.000000	0.000000	-0.000001	0.000000	0.000000
26.752274	14.746544	18.566761	-0.406202	0.282148	2.461402	0.000000	0.042301	0.000000	0.000000	-0.000001	0.000000	0.000000
27.193234	15.291355	18.119890	-0.833998	0.727401	2.495498	0.000000	0.112485	0.000000	-0.000000	-0.000001	0.000000	0.000000
27.634194	16.228762	17.293492	-1.299897	1.139557	2.560793	0.000000	0.183949	0.000000	-0.000000	-0.000001	0.000000	0.000000
28.075154	17.601589	16.125167	-1.825184	1.499865	2.658034	0.000000	0.257508	0.000000	-0.000001	-0.000001	0.000000	0.000000
28.521114	19.496429	14.650520	-2.438766	1.792846	2.789962	0.000000	0.334453	0.000000	-0.000001	-0.000001	0.000000	0.000000
29.070174	21.905370	13.006572	-1.922655	1.218942	2.950457	0.000000	0.249305	0.000000	-0.000001	-0.000001	0.000000	0.000000
29.619234	23.669174	11.941750	-1.270737	0.731859	3.062917	0.000000	0.159735	0.000000	-0.000002	-0.000001	0.000000	0.000000
30.168294	24.663255	11.380211	-0.529060	0.296906	3.125345	0.000000	0.067332	0.000000	-0.000002	-0.000001	0.000000	0.000000
30.717354	24.817396	11.281957	0.249986	-0.116899	3.136636	0.000000	-0.026266	0.000000	-0.000002	-0.000000	0.000000	0.000000
31.015927	24.710554	11.342122	0.172699	-0.114088	3.131241	0.000000	-0.018070	0.000000	-0.000002	-0.000000	0.000000	0.000000
31.349260	24.600052	11.428104	0.158807	-0.143859	3.125218	0.000000	-0.018070	0.000000	-0.000003	-0.000000	0.000000	0.000000
31.682593	24.498812	11.533934	0.144915	-0.173631	3.119195	0.000000	-0.018070	0.000000	-0.000003	-0.000000	0.000000	0.000000
32.017177	24.406505	11.660121	0.130971	-0.203514	3.113149	0.000000	-0.018070	0.000000	-0.000003	-0.000000	0.000000	0.000000
32.314499	24.332307	11.789035	0.055003	-0.199266	3.107776	0.000000	-0.009950	0.000000	-0.000003	-0.000000	0.000000	0.000000
32.863559	23.855296	12.247113	0.808632	-0.639954	3.076917	0.000000	-0.102295	0.000000	-0.000003	-0.000000	0.000000	0.000000
33.412619	22.577330	13.211161	1.505143	-1.126225	2.995778	0.000000	-0.192826	0.000000	-0.000003	-0.000000	0.000000	0.000000
33.961679	20.588677	14.749844	2.095339	-1.692714	2.865799	0.000000	-0.279937	0.000000	-0.000003	-0.000000	0.000000	0.000000
34.510739	18.029806	16.972761	2.537530	-2.379771	2.689286	0.000000	-0.362082	0.000000	-0.000004	-0.000000	0.000000	0.000000
34.956699	16.040427	18.960847	1.939341	-2.059598	2.544431	0.000000	-0.287917	0.000000	-0.000004	-0.000000	0.000000	0.000000
35.397659	14.558229	20.601322	1.434708	-1.646481	2.433110	0.000000	-0.217468	0.000000	-0.000004	-0.000000	0.000000	0.000000
35.838619	13.490601	21.842909	0.995622	-1.158450	2.352279	0.000000	-0.149496	0.000000	-0.000004	-0.000000	0.000000	0.000000
36.279579	12.788766	22.629117	0.602023	-0.617711	2.301017	0.000000	-0.083226	0.000000	-0.000004	-0.000000	0.000000	0.000000
36.721789	12.419994	22.924437	0.266281	-0.105140	2.278712	0.000000	-0.023492	0.000000	-0.000004	-0.000001	0.000000	0.000000
37.019112	12.269273	22.990857	0.240645	-0.118253	2.271728	0.000000	-0.023492	0.000000	-0.000004	-0.000001	0.000000	0.000000
37.352445	12.118423	23.074593	0.211904	-0.132955	2.263897	0.000000	-0.023492	0.000000	-0.000004	-0.000001	0.000000	0.000000
37.685779	11.986735	23.168130	0.183162	-0.147656	2.256066	0.000000	-0.023492	0.000000	-0.000005	-0.000001	0.000000	0.000000
38.020362	11.873821	23.271873	0.154313	-0.162412	2.248206	0.000000	-0.023492	0.000000	-0.000005	-0.000001	0.000000	0.000000
38.317684	11.789682	23.372350	0.157590	-0.232844	2.241222	0.000000	-0.028989	0.000000	-0.000005	-0.000000	0.000000	0.000000
38.758644	11.801270	23.319021	-0.183969	0.353323	2.242567	0.000000	0.035096	0.000000	-0.000005	-0.000001	0.000000	0.000000
39.199604	12.116639	22.753881	-0.533932	0.923414	2.272233	0.000000	0.099581	0.000000	-0.000005	-0.000001	0.000000	0.000000
39.640564	12.750198	21.702643	-0.908289	1.451490	2.330556	0.000000	0.165199	0.000000	-0.000006	-0.000001	0.000000	0.000000
40.081524	13.730891	20.213138	-1.324144	1.913525	2.418202	0.000000	0.232700	0.000000	-0.000006	-0.000001	0.000000	0.000000
40.527484	15.121165	18.330711	-1.804325	2.289739	2.537652	0.000000	0.303261	0.000000	-0.000007	-0.000001	0.000000	0.000000
41.076544	16.896451	16.216237	-1.409855	1.584074	2.683310	0.000000	0.226529	0.000000	-0.000007	-0.000001	0.000000	0.000000
41.625604	18.180979	14.810533	-0.915800	0.991239	2.785671	0.000000	0.145779	0.000000	-0.000008	-0.000001	0.000000	0.000000
42.174664	18.884015	14.013476	-0.357057	0.469007	2.842918	0.000000	0.062443	0.000000	-0.000008	-0.000000	0.000000	0.000000
42.723724	18.955901	13.768292	0.226906	-0.019818	2.854037	0.000000	-0.022001	0.000000	-0.000008	-0.000000	0.000000	0.000000
43.022297	18.854833	13.765119	0.161128	-0.005533	2.849695	0.000000	-0.014543	0.000000	-0.000008	-0.000000	0.000000	0.000000
43.502297	18.712687	13.787169	0.135010	-0.040405	2.842714	0.000000	-0.014543	0.000000	-0.000009	-0.000000	0.000000	0.000000
43.982297	18.595614	13.842696	0.108891	-0.075277	2.835734	0.000000	-0.014543	0.000000	-0.000009	-0.000000	0.000000	0.000000
44.462297	18.503616	13.931700	0.082772	-0.110148	2.828753	0.000000	-0.014543	0.000000	-0.000009	-0.000000	0.000000	0.000000
44.942297	18.436691	14.054181	0.056654	-0.145020	2.821772	0.000000	-0.014543	0.000000	-0.000009	-0.000000	0.000000	0.000000
45.423547	18.394992	14.210413	-0.060672	-0.109576	2.814791	0.000000	-0.000597	0.000000	-0.000009	-0.000000	0.000000	0.000000
45.720870	18.435893	14.281867	-0.125068	-0.093431	2.814613	0.000000	0.006757	0.000000	-0.000009	-0.000000	0.000000	0.000000
46.269930	18.262566	14.661414	0.438880	-0.601917	2.795499	0.000000	-0.076279	0.000000	-0.000009	-0.000000	0.000000	0.000000
46.818990	17.483391	15.619464	0.971827	-1.153276	2.731098	0.000000	-0.157963	0.000000	-0.000009	0.000000	0.000000	0.000000
47.368050	16.153406	17.224258	1.436129	-1.786780	2.622551	0.000000	-0.236845	0.000000	-0.000009	0.000001	0.000000	0.000000
47.917110	14.366555	19.590101	1.798990	-2.547552	2.471785	0.000000	-0.311526	0.000000	-0.000009	0.000001	0.000000	0.000000
48.363070	12.975013	21.694443	1.332387	-2.151292	2.348262	0.000000	-0.242726	0.000000	-0.000008	0.000001	0.000000	0.000000
48.804030	11.980971	23.380775	0.930434	-1.658386	2.255788	0.000000	-0.177091	0.000000	-0.000008	0.000000	0.000000	0.000000
49.244990	11.321405	24.597344	0.570990	-1.090026	2.191786	0.000000	-0.113473	0.000000	-0.000008	0.000000	0.000000	0.000000
49.685950	10.966183	25.288798	0.237632	-0.472070	2.155525	0.000000	-0.051147	0.000000	-0.000008	0.000000	0.000000	0.000000
50.128160	10.899220	25.423412	-0.058254	0.104964	2.146599	0.000000	0.005331	0.000000	-0.000008	-0.000000	0.000000	0.000000
50.425482	10.941998	25.364511	-0.085625	0.093140	2.148184	0.000000	0.005331	0.000000	-0.000008	-0.000000	0.000000	0.000000
50.758816	11.009311	25.306836	-0.116312	0.079884	2.149962	0.000000	0.005331	0.000000	-0.000008	-0.000000	0.000000	0.000000
51.092149	11.097081	25.257999	-0.146999	0.066628	2.151739	0.000000	0.005331	0.000000	-0.000008	-0.000000	0.000000	0.000000
51.426732	11.205527	25.218376	-0.086895	-0.151261	2.153501	0.000000	-0.012139	0.000000	-0.000008	-0.000000	0.000000	0.000000
51.724055	11.265147	25.311909	-0.086001	-0.225397	2.149892	0.000000	-0.017412	0.000000	-0.000008	-0.000000	0.000000	0.000000
52.165015	11.487692	25.229304	-0.420597	0.412013	2.155832	0.000000	0.044378	0.000000	-0.000008	-0.000000	0.000000	0.000000
52.605975	12.012650	24.590706	-0.774408	1.030677	2.189104	0.000000	0.106673	0.000000	-0.000008	-0.000000	0.000000	0.000000
53.046935	12.864004	23.425168	-1.163599	1.602446	2.250087	0.000000	0.170183	0.000000	-0.000009	-0.000001	0.000000	0.000000
53.487895	14.080649	21.785723	-1.605953	2.101306	2.339477	0.000000	0.235631	0.000000	-0.000009	-0.000001	0.000000	0.000000
53.933855	15.739012	19.722412	-2.125953	2.505882	2.459778	0.000000	0.304162	0.000000	-0.000009	-0.000001	0.000000	0.000000
54.482915	17.873161	17.401210	-1.737953	1.746666	2.606620	0.000000	0.229933	0.000000	-0.000010	-0.000001	0.000000	0.000000
55.031975	19.510898	15.840918	-1.227193	1.111861	2.711525	0.000000	0.151627	0.000000	-0.000010	-0.000001	0.000000	0.000000
55.581035	20.536543	14.930399	-0.629750	0.556251	2.772631	0.000000	0.070631	0.000000	-0.000010	-0.000000	0.000000	0.000000
56.130095	20.877648	14.604800	0.012175	0.040262	2.788856	0.000000	-0.011618	0.000000	-0.000011	0.000000	0.000000	0.000000
56.428668	20.907232	14.564110	-0.056706	0.057856	2.787562	0.000000	-0.004331	0.000000	-0.000010	0.000000	0.000000	0.000000
56.762001	20.950368	14.533194	-0.072701	0.034892	2.786119	0.000000	-0.004331	0.000000	-0.000010	0.000000	0.000000	0.000000
57.095334	21.004167	14.517588	-0.088696	0.011928	2.784675	0.000000	-0.004331	0.000000	-0.000010	0.000000	0.000000	0.000000
57.429918	21.068890	14.517318	-0.104750	-0.011122	2.783226	0.000000	-0.004331	0.000000	-0.000010	0.000000	0.000000	0.000000
57.727240	21.135422	14.530022	-0.174245	0.006362	2.781938	0.000000	0.002938	0.000000	-0.000010	0.000000	0.000000	0.000000
58.276300	20.965888	14.802559	0.481187	-0.505663	2.761023	0.000000	-0.079010	0.000000	-0.000010	0.000000	0.000000	0.000000
58.825360	20.091100	15.653721	1.102630	-1.053705	2.695432	0.000000	-0.159558	0.000000	-0.000010	0.000001	0.000000	0.000000
59.374420	18.572846	17.144134	1.646189	-1.676800	2.586329	0.000000	-0.237275	0.000000	-0.000009	0.000001	0.000000	0.000000
59.923480	16.518369	19.379956	2.073470	-2.419329	2.435648	0.000000	-0.310784	0.000000	-0.000009	0.000001	0.000000	0.000000
60.369440	14.910244	21.367552	1.545290	-2.018763	2.312247	0.000000	-0.242920	0.000000	-0.000008	0.000001	0.000000	0.000000
60.810400	13.751718	22.937370	1.091961	-1.527692	2.219483	0.000000	-0.178217	0.000000	-0.000008	0.000001	0.000000	0.000000
61.251360	12.969563	24.041681	0.688521	-0.967111	2.154776	0.000000	-0.115544	0.000000	-0.000007	0.000001	0.000000	0.000000
61.692320	12.528047	24.630238	0.316538	-0.362528	2.117389	0.000000	-0.054187	0.000000	-0.000007	0.000001	0.000000	0.000000
62.134530	12.407025	24.675769	-0.010657	0.197979	2.106899	0.000000	0.001386	0.000000	-0.000007	0.000000	0.000000	0.000000
62.431853	12.420487	24.561764	-0.034623	0.185458	2.107311	0.000000	0.001386	0.000000	-0.000007	0.000000	0.000000	0.000000
62.765186	12.452526	24.442805	-0.061493	0.171420	2.107773	0.000000	0.001386	0.000000	-0.000007	0.000000	0.000000	0.000000
63.098520	12.502478	24.333204	-0.088363	0.157382	2.108235	0.000000	0.001386	0.000000	-0.000006	0.000000	0.000000	0.000000
63.433103	12.570631	24.232604	-0.115333	0.143291	2.108698	0.000000	0.001386	0.000000	-0.000006	0.000000	0.000000	0.000000
63.730426	12.646339	24.151120	-0.108285	0.071541	2.109110	0.000000	-0.003786	0.000000	-0.000006	0.000000	0.000000	0.000000
64.171386	12.902623	23.821853	-0.475114	0.672321	2.120837	0.000000	0.057027	0.000000	-0.000006	0.000000	0.000000	0.000000
64.612346	13.490732	22.974263	-0.863649	1.242512	2.159498	0.000000	0.118489	0.000000	-0.000006	0.000000	0.000000	0.000000
65.053306	14.437537	21.646913	-1.291641	1.756169	2.225533	0.000000	0.181301	0.000000	-0.000006	-0.000000	0.000000	0.000000
65.494266	15.786294	19.900198	-1.778646	2.189922	2.319694	0.000000	0.246178	0.000000	-0.000006	-0.000000	0.000000	0.000000
65.940226	17.621670	17.788798	-2.351588	2.524822	2.444593	0.000000	0.314254	0.000000	-0.000006	-0.000000	0.000000	0.000000
66.489286	19.973375	15.425909	-1.906206	1.804097	2.597094	0.000000	0.240427	0.000000	-0.000006	-0.000000	0.000000	0.000000
67.038346	21.758716	13.779679	-1.326179	1.211873	2.707827	0.000000	0.162334	0.000000	-0.000006	0.000000	0.000000	0.000000
67.587406	22.851587	12.732849	-0.652478	0.705967	2.774827	0.000000	0.081362	0.000000	-0.000006	0.000000	0.000000	0.000000
68.136466	23.174791	12.210856	0.067312	0.250347	2.796907	0.000000	-0.001053	0.000000	-0.000006	0.000000	0.000000	0.000000
68.435038	23.174603	12.050192	-0.006127	0.255854	2.798774	0.000000	0.006255	0.000000	-0.000006	0.000000	0.000000	0.000000
68.768372	23.183483	11.889447	-0.020511	0.226381	2.800859	0.000000	0.006255	0.000000	-0.000006	0.000000	0.000000	0.000000
69.101705	23.201951	11.748351	-0.034895	0.196908	2.802944	0.000000	0.006255	0.000000	-0.000006	0.000000	0.000000	0.000000
69.436288	23.230133	11.626485	-0.049333	0.167325	2.805037	0.000000	0.006255	0.000000	-0.000005	0.000000	0.000000	0.000000
69.733611	23.263283	11.534803	-0.122949	0.171175	2.806897	0.000000	0.013590	0.000000	-0.000005	0.000000	0.000000	0.000000
70.282671	22.998978	11.577066	0.601477	-0.248604	2.791591	0.000000	-0.069259	0.000000	-0.000005	0.000001	0.000000	0.000000
70.831731	21.957895	12.087259	1.283418	-0.686092	2.731068	0.000000	-0.150879	0.000000	-0.000005	0.000001	0.000000	0.000000
71.380791	20.213571	13.101721	1.874704	-1.172448	2.626399	0.000000	-0.229823	0.000000	-0.000004	0.000001	0.000000	0.000000
71.929851	17.889217	14.692710	2.333571	-1.742315	2.479443	0.000000	-0.304690	0.000000	-0.000004	0.000001	0.000000	0.000000
72.375811	16.071087	16.119576	1.757821	-1.443667	2.359019	0.000000	-0.235651	0.000000	-0.000003	0.000001	0.000000	0.000000
72.816771	14.742282	17.236806	1.267049	-1.080322	2.269732	0.000000	-0.169697	0.000000	-0.000003	0.000001	0.000000	0.000000
73.257731	13.819233	18.010612	0.834165	-0.667823	2.209075	0.000000	-0.105677	0.000000	-0.000003	0.000001	0.000000	0.000000
73.698691	13.259768	18.405787	0.439391	-0.224938	2.176356	0.000000	-0.042860	0.000000	-0.000002	0.000001	0.000000	0.000000
74.140901	13.038086	18.403894	0.096570	0.182977	2.171221	0.000000	0.014145	0.000000	-0.000002	0.000001	0.000000	0.000000
74.438224	12.987504	18.300052	0.073553	0.166281	2.175427	0.000000	0.014145	0.000000	-0.000002	0.000001	0.000000	0.000000
74.918224	12.934729	18.153360	0.036395	0.139326	2.182216	0.000000	0.014145	0.000000	-0.000001	0.000001	0.000000	0.000000
75.398224	12.917626	18.032546	-0.000764	0.112372	2.189005	0.000000	0.014145	0.000000	-0.000001	0.000001	0.000000	0.000000
75.878224	12.936196	17.937607	-0.037922	0.085417	2.195794	0.000000	0.014145	0.000000	-0.000001	0.000001	0.000000	0.000000
76.358224	12.990437	17.868545	-0.075081	0.058462	2.202583	0.000000	0.014145	0.000000	-0.000001	0.000001	0.000000	0.000000
76.839474	13.080632	17.825281	-0.112336	0.031437	2.209390	0.000000	0.014145	0.000000	-0.000000	0.000001	0.000000	0.000000
77.136796	13.154275	17.811551	-0.103095	-0.028938	2.213595	0.000000	0.008716	0.000000	0.000000	0.000001	0.000000	0.000000
77.577756	13.411129	17.645159	-0.481602	0.404841	2.231441	0.000000	0.072302	0.000000	0.000000	0.000001	0.000000	0.000000
78.018716	14.010199	17.102902	-0.882112	0.820200	2.277480	0.000000	0.136710	0.000000	0.000001	0.000001	0.000000	0.000000
78.459676	14.978857	16.209450	-1.322923	1.198241	2.352236	0.000000	0.202676	0.000000	0.000001	0.000001	0.000000	0.000000
78.900636	16.361356	15.005455	-1.824174	1.521763	2.456562	0.000000	0.270950	0.000000	0.000001	0.000001	0.000000	0.000000
79.346596	18.244510	13.528278	-2.413562	1.776684	2.593325	0.000000	0.342731	0.000000	0.000002	0.000001	0.000000	0.000000
79.895656	20.653528	11.888246	-1.947997	1.227927	2.760095	0.000000	0.263853	0.000000	0.000002	0.000001	0.000000	0.000000
80.444716	22.472256	10.799540	-1.344834	0.766633	2.882206	0.000000	0.180295	0.000000	0.000002	0.000001	0.000000	0.000000
80.993776	23.572228	10.184611	-0.646680	0.359944	2.957492	0.000000	0.093538	0.000000	0.000003	0.000001	0.000000	0.000000
81.542836	23.875749	9.999662	0.097153	-0.021107	2.984617	0.000000	0.005123	0.000000	0.000003	0.000000	0.000000	0.000000
81.841409	23.858723	10.005580	0.022251	-0.024840	2.988475	0.000000	0.012921	0.000000	0.000003	0.000000	0.000000	0.000000
82.174742	23.848549	10.033251	0.008273	-0.058175	2.992782	0.000000	0.012921	0.000000	0.000003	0.000000	0.000000	0.000000
82.508076	23.847693	10.083146	-0.005705	-0.091510	2.997089	0.000000	0.012921	0.000000	0.000003	0.000000	0.000000	0.000000
82.842659	23.856500	10.155451	-0.137934	-0.074654	3.001430	0.000000	0.027792	0.000000	0.000004	0.000000	0.000000	0.000000
83.139982	23.942298	10.208597	-0.213189	-0.077422	3.009693	0.000000	0.035655	0.000000	0.000004	0.000000	0.000000	0.000000
83.689042	23.763935	10.506289	0.536117	-0.467963	3.004669	0.000000	-0.053931	0.000000	0.000004	0.000000	0.000000	0.000000
84.238102	22.778760	11.248519	1.247555	-0.891835	2.950646	0.000000	-0.142560	0.000000	0.000004	0.000000	0.000000	0.000000
84.787162	21.056360	12.488153	1.870872	-1.379231	2.848585	0.000000	-0.228660	0.000000	0.000004	0.000000	0.000000	0.000000
