# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.376650	11.664864	25.164306	0.060101	-0.046189	1.487171	0.000000	0.004741	0.000000	0.000000	-0.000000	0.000000	0.000000
0.753300	11.631795	25.204750	0.027695	-0.061188	1.488957	0.000000	0.004741	0.000000	0.000000	-0.000000	0.000000	0.000000
1.129950	11.623138	25.256493	-0.004711	-0.076188	1.490742	0.000000	0.004741	0.000000	0.000000	-0.000000	0.000000	0.000000
1.506600	11.638893	25.319535	-0.037117	-0.091187	1.492528	0.000000	0.004741	0.000000	0.000000	-0.000000	0.000000	0.000000
1.947719	11.818261	25.126305	-0.371008	0.527606	1.504298	0.000000	0.048673	0.000000	0.000000	-0.000000	0.000000	0.000000
2.388837	12.298376	24.395484	-0.721421	1.122994	1.535549	0.000000	0.093145	0.000000	0.000000	0.000000	0.000000	0.000000
2.829956	13.100619	23.159491	-1.103961	1.668564	1.586626	0.000000	0.138652	0.000000	0.000000	0.000000	0.000000	0.000000
3.271074	14.260715	21.473156	-1.535662	2.140115	1.658098	0.000000	0.185697	0.000000	0.000000	0.000000	0.000000	0.000000
3.712193	15.830326	19.411287	-2.035749	2.516727	1.750758	0.000000	0.234805	0.000000	0.000000	0.000000	0.000000	0.000000
4.261591	17.867197	17.064782	-1.650371	1.778829	1.866441	0.000000	0.185717	0.000000	0.000000	0.000000	0.000000	0.000000
4.810989	19.415523	15.457174	-1.151631	1.164088	1.954235	0.000000	0.133426	0.000000	0.000000	0.000000	0.000000	0.000000
5.360387	20.368952	14.477160	-0.573788	0.629943	2.012626	0.000000	0.078834	0.000000	0.000000	-0.000000	0.000000	0.000000
5.909785	20.661996	14.056890	0.043468	0.139412	2.040608	0.000000	0.022883	0.000000	0.000000	-0.000000	0.000000	0.000000
6.383452	20.631696	13.941091	0.020500	0.105061	2.051446	0.000000	0.022883	0.000000	0.000000	-0.000000	0.000000	0.000000
6.857118	20.623154	13.857834	-0.002468	0.070710	2.062285	0.000000	0.022883	0.000000	0.000000	-0.000000	0.000000	0.000000
7.330785	20.636371	13.807120	-0.025435	0.036358	2.073124	0.000000	0.022883	0.000000	0.000000	-0.000000	0.000000	0.000000
7.509785	20.644154	13.798350	-0.022028	0.015299	2.077075	0.000000	0.021668	0.000000	0.000000	-0.000000	0.000000	0.000000
8.059183	20.328122	14.042184	0.593951	-0.461666	2.073185	0.000000	-0.035811	0.000000	0.000000	-0.000000	0.000000	0.000000
8.608581	19.353880	14.824575	1.169133	-0.970594	2.037840	0.000000	-0.092672	0.000000	0.000000	-0.000000	0.000000	0.000000
9.157979	17.788347	16.199692	1.664009	-1.546722	1.971651	0.000000	-0.147935	0.000000	0.000000	-0.000000	0.000000	0.000000
9.707378	15.739056	18.262742	2.044587	-2.229937	1.875759	0.000000	-0.200646	0.000000	0.000000	-0.000000	0.000000	0.000000
10.148496	14.161390	20.076362	1.545153	-1.866221	1.798889	0.000000	-0.148201	0.000000	0.000000	-0.000000	0.000000	0.000000
10.589615	12.992479	21.531247	1.114527	-1.419717	1.744770	0.000000	-0.097400	0.000000	0.000000	-0.000000	0.000000	0.000000
11.030733	12.180268	22.562859	0.733534	-0.910233	1.712800	0.000000	-0.047681	0.000000	0.000000	-0.000000	0.000000	0.000000
11.471852	11.688589	23.125432	0.385207	-0.360370	1.702626	0.000000	0.001509	0.000000	0.000000	-0.000000	0.000000	0.000000
11.912970	11.495546	23.194011	0.054034	0.205480	1.714134	0.000000	0.050716	0.000000	0.000000	-0.000000	0.000000	0.000000
12.382970	11.464026	23.010786	0.013029	0.184361	1.737971	0.000000	0.050716	0.000000	0.000000	-0.000000	0.000000	0.000000
12.852970	11.471051	22.847413	-0.027976	0.163241	1.761807	0.000000	0.050716	0.000000	0.000000	-0.000000	0.000000	0.000000
13.322970	11.516620	22.703892	-0.068980	0.142122	1.785644	0.000000	0.050716	0.000000	0.000000	-0.000000	0.000000	0.000000
13.512970	11.535809	22.671514	-0.046403	0.056685	1.794491	0.000000	0.044647	0.000000	0.000000	-0.000000	0.000000	0.000000
13.954089	11.722446	22.379018	-0.378262	0.603932	1.825573	0.000000	0.096407	0.000000	0.000000	-0.000000	0.000000	0.000000
14.395207	12.208186	21.613785	-0.726965	1.124388	1.879702	0.000000	0.149238	0.000000	0.000000	0.000000	0.000000	0.000000
14.836326	13.014658	20.409761	-1.108041	1.594965	1.957479	0.000000	0.203725	0.000000	0.000000	0.000000	0.000000	0.000000
15.277444	14.177778	18.820359	-1.538461	1.994787	2.059768	0.000000	0.260475	0.000000	0.000000	0.000000	0.000000	0.000000
15.718563	15.749341	16.916086	-2.037392	2.306117	2.187704	0.000000	0.320116	0.000000	0.000000	0.000000	0.000000	0.000000
16.267961	17.790015	14.759162	-1.655611	1.642389	2.346353	0.000000	0.256596	0.000000	0.000000	0.000000	0.000000	0.000000
16.817359	19.345922	13.265262	-1.160110	1.092372	2.468837	0.000000	0.188650	0.000000	0.000000	0.000000	0.000000	0.000000
17.366757	20.310190	12.330957	-0.584923	0.617985	2.553043	0.000000	0.117451	0.000000	0.000000	-0.000000	0.000000	0.000000
17.916155	20.616585	11.891560	0.030442	0.186384	2.597520	0.000000	0.044226	0.000000	0.000000	-0.000000	0.000000	0.000000
18.344726	20.599409	11.747784	0.009635	0.149092	2.616474	0.000000	0.044226	0.000000	0.000000	-0.000000	0.000000	0.000000
18.773298	20.600069	11.635973	-0.011172	0.111800	2.635428	0.000000	0.044226	0.000000	0.000000	-0.000000	0.000000	0.000000
19.201869	20.618562	11.556126	-0.031979	0.074508	2.654382	0.000000	0.044226	0.000000	0.000000	-0.000000	0.000000	0.000000
19.630441	20.654890	11.508244	-0.052786	0.037216	2.673336	0.000000	0.044226	0.000000	0.000000	-0.000000	0.000000	0.000000
20.059012	20.709053	11.492327	-0.073593	-0.000076	2.692290	0.000000	0.044226	0.000000	0.000000	-0.000000	0.000000	0.000000
20.487584	20.781050	11.508374	-0.094400	-0.037368	2.711244	0.000000	0.044226	0.000000	0.000000	-0.000000	0.000000	0.000000
20.916155	20.870882	11.556386	-0.115207	-0.074660	2.730198	0.000000	0.044226	0.000000	0.000000	-0.000000	0.000000	0.000000
21.465553	20.652191	11.865807	0.510971	-0.491772	2.733033	0.000000	-0.033920	0.000000	0.000000	-0.000000	0.000000	0.000000
22.014951	19.760870	12.649533	1.102052	-0.942933	2.693034	0.000000	-0.111482	0.000000	0.000000	-0.000000	0.000000	0.000000
22.564349	18.258140	13.961828	1.617434	-1.459378	2.610891	0.000000	-0.187121	0.000000	0.000000	-0.000000	0.000000	0.000000
23.113748	16.247223	15.893546	2.021718	-2.076862	2.488020	0.000000	-0.259532	0.000000	0.000000	-0.000000	0.000000	0.000000
23.554866	14.692411	17.600802	1.516020	-1.779069	2.388525	0.000000	-0.191989	0.000000	0.000000	-0.000000	0.000000	0.000000
23.995985	13.552429	19.009413	1.077834	-1.402355	2.318327	0.000000	-0.126578	0.000000	0.000000	-0.000000	0.000000	0.000000
24.437103	12.776513	20.056891	0.687646	-0.963430	2.276647	0.000000	-0.062572	0.000000	0.000000	-0.000000	0.000000	0.000000
24.878222	12.330108	20.696767	0.328080	-0.481766	2.263022	0.000000	0.000740	0.000000	0.000000	-0.000000	0.000000	0.000000
25.319340	12.193336	20.900656	-0.016875	0.021270	2.277301	0.000000	0.064060	0.000000	0.000000	-0.000000	0.000000	0.000000
25.789390	12.227326	20.891236	-0.055436	-0.001229	2.307412	0.000000	0.064060	0.000000	0.000000	-0.000000	0.000000	0.000000
26.166040	12.280724	20.898953	-0.086335	-0.019259	2.331540	0.000000	0.064060	0.000000	0.000000	-0.000000	0.000000	0.000000
26.542690	12.357398	20.920251	-0.117233	-0.037288	2.355668	0.000000	0.064060	0.000000	0.000000	-0.000000	0.000000	0.000000
26.919340	12.457347	20.955130	-0.148132	-0.055317	2.379796	0.000000	0.064060	0.000000	0.000000	-0.000000	0.000000	0.000000
27.360459	12.743713	20.780451	-0.503449	0.449839	2.422706	0.000000	0.130672	0.000000	0.000000	-0.000000	0.000000	0.000000
27.801577	13.352251	20.167281	-0.881187	0.935039	2.495293	0.000000	0.198736	0.000000	0.000000	-0.000000	0.000000	0.000000
28.242696	14.310061	19.142821	-1.298165	1.378759	2.598363	0.000000	0.269006	0.000000	0.000000	0.000000	0.000000	0.000000
28.683814	15.659797	17.752518	-1.772953	1.761316	2.733059	0.000000	0.342263	0.000000	0.000000	0.000000	0.000000	0.000000
29.124933	17.461565	16.058047	-2.326695	2.065739	2.900877	0.000000	0.419320	0.000000	0.000000	0.000000	0.000000	0.000000
29.674331	19.799146	14.139628	-1.903620	1.446154	3.107722	0.000000	0.332588	0.000000	0.000000	0.000000	0.000000	0.000000
30.223729	21.596910	12.843428	-1.349789	0.926695	3.265270	0.000000	0.240121	0.000000	0.000000	0.000000	0.000000	0.000000
30.773127	22.731371	12.079702	-0.703243	0.471395	3.370805	0.000000	0.143513	0.000000	0.000000	-0.000000	0.000000	0.000000
31.322525	23.124606	11.795576	-0.008393	0.048732	3.422506	0.000000	0.044429	0.000000	0.000000	-0.000000	0.000000	0.000000
31.722525	23.138239	11.770187	-0.025691	0.014741	3.440278	0.000000	0.044429	0.000000	0.000000	-0.000000	0.000000	0.000000
32.122525	23.165712	11.771991	-0.042990	-0.019251	3.458050	0.000000	0.044429	0.000000	0.000000	-0.000000	0.000000	0.000000
32.522525	23.207024	11.800989	-0.060289	-0.053243	3.475821	0.000000	0.044429	0.000000	0.000000	-0.000000	0.000000	0.000000
32.922525	23.262175	11.857179	-0.077588	-0.087234	3.493593	0.000000	0.044429	0.000000	0.000000	-0.000000	0.000000	0.000000
33.471923	22.959968	12.185165	0.624491	-0.513182	3.489957	0.000000	-0.057649	0.000000	0.000000	-0.000000	0.000000	0.000000
